date,gap,cumreturn
2017-08-31,gap_0,-1.1374767571575576e-05
2017-09-01,gap_0,-2.2889515666195092e-05
2017-09-02,gap_0,-2.818257000996805e-05
2017-09-03,gap_0,-4.358843259422458e-05
2017-09-04,gap_0,-3.8632499981075874e-05
2017-09-05,gap_0,-4.0712616687796294e-05
2017-09-06,gap_0,-4.568537926567608e-05
2017-09-07,gap_0,-5.1254119399282766e-05
2017-09-08,gap_0,-5.30802274465045e-05
2017-09-09,gap_0,-4.8394697047837396e-05
2017-09-10,gap_0,-5.559841513291003e-05
2017-09-11,gap_0,-5.525602080535008e-05
2017-09-12,gap_0,-5.164255337965323e-05
2017-09-13,gap_0,-2.452737037825773e-05
2017-09-14,gap_0,-2.8591287245365224e-05
2017-09-15,gap_0,-2.604436373283574e-05
2017-09-16,gap_0,-2.213827004389968e-05
2017-09-17,gap_0,-4.106754501074491e-05
2017-09-18,gap_0,-2.7548665618587606e-05
2017-09-19,gap_0,-3.5898183854406994e-05
2017-09-20,gap_0,-2.1674389894196118e-05
2017-09-21,gap_0,-2.6333079964048275e-05
2017-09-22,gap_0,-4.443846597166212e-05
2017-09-23,gap_0,-4.009798963073115e-05
2017-09-24,gap_0,-5.717767923254605e-05
2017-09-25,gap_0,-6.202474434222481e-05
2017-09-26,gap_0,-7.327878138303786e-05
2017-09-27,gap_0,-7.098350124268381e-05
2017-09-28,gap_0,-6.977713727287085e-05
2017-09-29,gap_0,-6.703020377382698e-05
2017-09-30,gap_0,-6.210263016712133e-05
2017-10-01,gap_0,-6.236680544780554e-05
2017-10-02,gap_0,-6.150286727385373e-05
2017-10-03,gap_0,-4.6693305311586094e-05
2017-10-04,gap_0,-4.664754306952714e-05
2017-10-05,gap_0,-3.517169263009937e-05
2017-10-06,gap_0,-2.1054901633557846e-05
2017-10-07,gap_0,-1.0927960830279349e-05
2017-10-08,gap_0,-1.0300285674684983e-05
2017-10-09,gap_0,-8.895086738889507e-06
2017-10-10,gap_0,3.5655731958034714e-07
2017-10-11,gap_0,-9.825729787892606e-06
2017-10-12,gap_0,-1.2093481907386515e-05
2017-10-13,gap_0,-1.2733445643109459e-05
2017-10-14,gap_0,-5.316444738789471e-06
2017-10-15,gap_0,3.773590781390847e-05
2017-10-16,gap_0,4.142640081622306e-05
2017-10-17,gap_0,2.399180035644437e-05
2017-10-18,gap_0,1.756407282922065e-05
2017-10-19,gap_0,6.061135791884002e-06
2017-10-20,gap_0,4.419080838715989e-05
2017-10-21,gap_0,2.7182307140634742e-05
2017-10-22,gap_0,4.3322197376906e-05
2017-10-23,gap_0,3.780240489693586e-05
2017-10-24,gap_0,3.3512932041444736e-05
2017-10-25,gap_0,3.7667211533252696e-05
2017-10-26,gap_0,3.54817619006523e-05
2017-10-27,gap_0,3.4050661084512816e-05
2017-10-28,gap_0,3.09910754892529e-05
2017-10-29,gap_0,2.7631891274007573e-05
2017-10-30,gap_0,2.8952288132547745e-05
2017-10-31,gap_0,5.198181062304994e-05
2017-11-01,gap_0,6.536222418533507e-05
2017-11-02,gap_0,5.9665613795408094e-05
2017-11-03,gap_0,5.976647491666139e-05
2017-11-04,gap_0,6.0717708486011816e-05
2017-11-05,gap_0,4.873300893723403e-05
2017-11-06,gap_0,4.1380388827298606e-05
2017-11-07,gap_0,4.7053781244786086e-05
2017-11-08,gap_0,3.7762467960941754e-05
2017-11-09,gap_0,5.387300877730006e-05
2017-11-10,gap_0,0.00010348674989066506
2017-11-11,gap_0,0.00011215921290150663
2017-11-12,gap_0,9.212412713021911e-05
2017-11-13,gap_0,7.122525017663547e-05
2017-11-14,gap_0,5.710403192544116e-05
2017-11-15,gap_0,2.9925908533462424e-05
2017-11-16,gap_0,3.635006277682276e-05
2017-11-17,gap_0,4.1707798005458804e-05
2017-11-18,gap_0,3.59695798969609e-05
2017-11-19,gap_0,3.498103524204812e-05
2017-11-20,gap_0,3.63901929928775e-05
2017-11-21,gap_0,5.43356230196377e-05
2017-11-22,gap_0,6.119186626677999e-05
2017-11-23,gap_0,6.471743974012909e-05
2017-11-24,gap_0,5.5290872370955985e-05
2017-11-25,gap_0,3.5819079151804865e-05
2017-11-26,gap_0,5.805902271291947e-05
2017-11-27,gap_0,0.00018939160433399305
2017-11-28,gap_0,0.00015171130603318936
2017-11-29,gap_0,0.00018254403799453534
2017-11-30,gap_0,0.00020162270015356345
2017-12-01,gap_0,0.00021189157159374694
2017-12-02,gap_0,0.00020135460079376846
2017-12-03,gap_0,0.00021058146092516354
2017-12-04,gap_0,0.00024821009225541046
2017-12-05,gap_0,0.00028651747724446245
2017-12-06,gap_0,0.0002863087384689501
2017-12-07,gap_0,0.0002610044472843444
2017-12-08,gap_0,0.000267774554767628
2017-12-09,gap_0,0.0002663058827472677
2017-12-10,gap_0,0.00031030835524910376
2017-12-11,gap_0,0.00031450702856619135
2017-12-12,gap_0,0.0003177895715291108
2017-12-13,gap_0,0.00034107672162534883
2017-12-14,gap_0,0.0003372334743088939
2017-12-15,gap_0,0.0004743634651903712
2017-12-16,gap_0,0.00047532944110270235
2017-12-17,gap_0,0.00047312784598226704
2017-12-18,gap_0,0.0004788247275380761
2017-12-19,gap_0,0.00048637528788179354
2017-12-20,gap_0,0.0004720932791208419
2017-12-21,gap_0,0.00047450546011659604
2017-12-22,gap_0,0.0005052968982864965
2017-12-23,gap_0,0.00048643601215492456
2017-12-24,gap_0,0.00047510813824003446
2017-12-25,gap_0,0.00047271250502574277
2017-12-26,gap_0,0.0004910095177090076
2017-12-27,gap_0,0.000511607206557347
2017-12-28,gap_0,0.000558257061817783
2017-12-29,gap_0,0.0005918106769614347
2017-12-30,gap_0,0.0006030021053672932
2017-12-31,gap_0,0.0006241530641818674
2018-01-01,gap_0,0.0006428113312629982
2018-01-02,gap_0,0.0007366899073525566
2018-01-03,gap_0,0.0008158385008522734
2018-01-04,gap_0,0.000798603047591069
2018-01-05,gap_0,0.0007631668721734211
2018-01-06,gap_0,0.000778804684859815
2018-01-07,gap_0,0.0007499273358461953
2018-01-08,gap_0,0.000732088011386465
2018-01-09,gap_0,0.0007092474421554765
2018-01-10,gap_0,0.0007002502358231764
2018-01-11,gap_0,0.0007119061113831472
2018-01-12,gap_0,0.0007080042880728405
2018-01-13,gap_0,0.0007124303538702753
2018-01-14,gap_0,0.0007118229249586952
2018-01-15,gap_0,0.0007125594689521367
2018-01-16,gap_0,0.0006988769677928617
2018-01-17,gap_0,0.0006880594545334868
2018-01-18,gap_0,0.0006927369643057919
2018-01-19,gap_0,0.0006912518083361945
2018-01-20,gap_0,0.0006966165921138667
2018-01-21,gap_0,0.0006897868125373184
2018-01-22,gap_0,0.0006893413614180348
2018-01-23,gap_0,0.0006980896270062923
2018-01-24,gap_0,0.000702373659538747
2018-01-25,gap_0,0.0007108523556396268
2018-01-26,gap_0,0.0007084940625871248
2018-01-27,gap_0,0.0007080460366396727
2018-01-28,gap_0,0.0007058440535307411
2018-01-29,gap_0,0.0007060133965326789
2018-01-30,gap_0,0.0007090471435032649
2018-01-31,gap_0,0.0007196806944103286
2018-02-01,gap_0,0.0007285985054188169
2018-02-02,gap_0,0.0007230245505236224
2018-02-03,gap_0,0.0007126707519564061
2018-02-04,gap_0,0.0007165693042959163
2018-02-05,gap_0,0.0007201961747499624
2018-02-06,gap_0,0.0007026887896456907
2018-02-07,gap_0,0.0007107196608586234
2018-02-08,gap_0,0.0006981938216638983
2018-02-09,gap_0,0.0006677604016102558
2018-02-10,gap_0,0.0006539128173374013
2018-02-11,gap_0,0.0006608771569059714
2018-02-12,gap_0,0.000672511675737127
2018-02-13,gap_0,0.0006832457567017819
2018-02-14,gap_0,0.0006951675507098413
2018-02-15,gap_0,0.0006941703976177451
2018-02-16,gap_0,0.0006875150704904307
2018-02-17,gap_0,0.0006796192730580027
2018-02-18,gap_0,0.0006868570292972166
2018-02-19,gap_0,0.0006999019828516314
2018-02-20,gap_0,0.0007170514303594664
2018-02-21,gap_0,0.0007097370618869078
2018-02-22,gap_0,0.0007107668263493107
2018-02-23,gap_0,0.000718977400039988
2018-02-24,gap_0,0.0007293890391735071
2018-02-25,gap_0,0.0007211466110080669
2018-02-26,gap_0,0.0007214337863392031
2018-02-27,gap_0,0.000720885202001432
2018-02-28,gap_0,0.0007183893649901681
2018-03-01,gap_0,0.0007260320493228182
2018-03-02,gap_0,0.0007426768887151334
2018-03-03,gap_0,0.0007400469112624954
2018-03-04,gap_0,0.000729589324986344
2018-03-05,gap_0,0.0007390151639201572
2018-03-06,gap_0,0.0007360739254062944
2018-03-07,gap_0,0.000743889200220497
2018-03-08,gap_0,0.0007304709484221331
2018-03-09,gap_0,0.000731671130010562
2018-03-10,gap_0,0.0007273631948477385
2018-03-11,gap_0,0.0007223752937242087
2018-03-12,gap_0,0.000716815718380786
2018-03-13,gap_0,0.0007186532813076032
2018-03-14,gap_0,0.0007317011525804328
2018-03-15,gap_0,0.0007381608753956776
2018-03-16,gap_0,0.0007428046639219206
2018-03-17,gap_0,0.0007607929528666545
2018-03-18,gap_0,0.0007559418743105902
2018-03-19,gap_0,0.0007284203662997599
2018-03-20,gap_0,0.0007278010800105991
2018-03-21,gap_0,0.0007242278862767466
2018-03-22,gap_0,0.000731922159219967
2018-03-23,gap_0,0.0007411019305488932
2018-03-24,gap_0,0.0007588330667569114
2018-03-25,gap_0,0.0007480332076523111
2018-03-26,gap_0,0.0007589816242533346
2018-03-27,gap_0,0.0007684458097599229
2018-03-28,gap_0,0.0007796141469794053
2018-03-29,gap_0,0.0007903784066058618
2018-03-30,gap_0,0.0007829278611624826
2018-03-31,gap_0,0.0007674835131856861
2018-04-01,gap_0,0.0007727956192381748
2018-04-02,gap_0,0.0007779321195899475
2018-04-03,gap_0,0.000758670624001195
2018-04-04,gap_0,0.0007621244387513085
2018-04-05,gap_0,0.0007649208228867679
2018-04-06,gap_0,0.0007676424591511745
2018-04-07,gap_0,0.0007609505448483185
2018-04-08,gap_0,0.000758606585935198
2018-04-09,gap_0,0.0007566431923353872
2018-04-10,gap_0,0.0007590423396610445
2018-04-11,gap_0,0.0007529817483752906
2018-04-12,gap_0,0.0007625289527099043
2018-04-13,gap_0,0.000758896373349172
2018-04-14,gap_0,0.0007600108544112998
2018-04-15,gap_0,0.0007733160552740966
2018-04-16,gap_0,0.0007858916890611011
2018-04-17,gap_0,0.0007811274493289928
2018-04-18,gap_0,0.0007891617387641517
2018-04-19,gap_0,0.0007963139325454723
2018-04-20,gap_0,0.0008118124307865071
2018-04-21,gap_0,0.0008051278236971748
2018-04-22,gap_0,0.0008086767847538216
2018-04-23,gap_0,0.0008239537055485663
2018-04-24,gap_0,0.0008263098650734188
2018-04-25,gap_0,0.0008178008385741712
2018-04-26,gap_0,0.0008263252403807227
2018-04-27,gap_0,0.00082842843595871
2018-04-28,gap_0,0.0008439792083476737
2018-04-29,gap_0,0.0008581635449745018
2018-04-30,gap_0,0.0008580412127310114
2018-05-01,gap_0,0.0008630944912910057
2018-05-02,gap_0,0.000862498763970167
2018-05-03,gap_0,0.0008548247263405715
2018-05-04,gap_0,0.0008511244414999587
2018-05-05,gap_0,0.0008655601379791859
2018-05-06,gap_0,0.0008663139292065172
2018-05-07,gap_0,0.0008589558757834534
2018-05-08,gap_0,0.0008601778840372354
2018-05-09,gap_0,0.0008589368720780345
2018-05-10,gap_0,0.0008568850527081848
2018-05-11,gap_0,0.0008596495659455211
2018-05-12,gap_0,0.000853974608313947
2018-05-13,gap_0,0.000848033644761788
2018-05-14,gap_0,0.0008440340319246913
2018-05-15,gap_0,0.0008482427360071305
2018-05-16,gap_0,0.0008455411904938567
2018-05-17,gap_0,0.0008495330136801468
2018-05-18,gap_0,0.0008480427651988882
2018-05-19,gap_0,0.0008506156632227471
2018-05-20,gap_0,0.0008436524602536452
2018-05-21,gap_0,0.000851017479545012
2018-05-22,gap_0,0.000855786206993108
2018-05-23,gap_0,0.0008618074942851665
2018-05-24,gap_0,0.0008572510278150561
2018-05-25,gap_0,0.0008617737343231702
2018-05-26,gap_0,0.0008647888624065699
2018-05-27,gap_0,0.0008640901142639034
2018-05-28,gap_0,0.0008721085076036457
2018-05-29,gap_0,0.0008554339861893097
2018-05-30,gap_0,0.0008531438369517952
2018-05-31,gap_0,0.0008516249740931382
2018-06-01,gap_0,0.0008506805985704102
2018-06-02,gap_0,0.0008444053185971429
2018-06-03,gap_0,0.0008405409196644277
2018-06-04,gap_0,0.000844325953061491
2018-06-05,gap_0,0.000841157771260222
2018-06-06,gap_0,0.000842532347261759
2018-06-07,gap_0,0.0008442123641325763
2018-06-08,gap_0,0.0008469005569104259
2018-06-09,gap_0,0.000847077991384674
2018-06-10,gap_0,0.000855798382529172
2018-06-11,gap_0,0.0008564854751217568
2018-06-12,gap_0,0.0008666326504684588
2018-06-13,gap_0,0.0008708282483074816
2018-06-14,gap_0,0.0008593381846032158
2018-06-15,gap_0,0.0008660817794059568
2018-06-16,gap_0,0.0008640639822979544
2018-06-17,gap_0,0.0008663716571117139
2018-06-18,gap_0,0.0008625186829620159
2018-06-19,gap_0,0.0008577123462442922
2018-06-20,gap_0,0.0008620487355848971
2018-06-21,gap_0,0.0008616950811307009
2018-06-22,gap_0,0.0008709335008201513
2018-06-23,gap_0,0.0008726570799987582
2018-06-24,gap_0,0.0008781271196273491
2018-06-25,gap_0,0.0008761122675711588
2018-06-26,gap_0,0.0008864009967165448
2018-06-27,gap_0,0.000883584579521367
2018-06-28,gap_0,0.0008887848039133488
2018-06-29,gap_0,0.000884601734054827
2018-06-30,gap_0,0.0008755134613076397
2018-07-01,gap_0,0.0008739829163923904
2018-07-02,gap_0,0.000871238775358821
2018-07-03,gap_0,0.0008710327794743477
2018-07-04,gap_0,0.0008711306730452463
2018-07-05,gap_0,0.0008756519412384025
2018-07-06,gap_0,0.0008745732747869061
2018-07-07,gap_0,0.0008706272347429052
2018-07-08,gap_0,0.0008754678243678823
2018-07-09,gap_0,0.0008775362326108079
2018-07-10,gap_0,0.0008765260873172359
2018-07-11,gap_0,0.0008829596601734418
2018-07-12,gap_0,0.0008792719037345734
2018-07-13,gap_0,0.0008775157638527017
2018-07-14,gap_0,0.0008844852265397026
2018-07-15,gap_0,0.0008832880468600085
2018-07-16,gap_0,0.0008802387243620493
2018-07-17,gap_0,0.0008726145585037221
2018-07-18,gap_0,0.0008950952320163142
2018-07-19,gap_0,0.0009000352193437754
2018-07-20,gap_0,0.000893510213036783
2018-07-21,gap_0,0.0008977770612057241
2018-07-22,gap_0,0.0009036317467521234
2018-07-23,gap_0,0.000910490319046459
2018-07-24,gap_0,0.0008806806443405538
2018-07-25,gap_0,0.0008832866199029556
2018-07-26,gap_0,0.0008748802462085286
2018-07-27,gap_0,0.000878299855741853
2018-07-28,gap_0,0.0008768871301852874
2018-07-29,gap_0,0.0008722612411129687
2018-07-30,gap_0,0.0008691882192448263
2018-07-31,gap_0,0.0008632664832284781
2018-08-01,gap_0,0.0008612521095804544
2018-08-02,gap_0,0.0008593851796918869
2018-08-03,gap_0,0.0008588728466781924
2018-08-04,gap_0,0.0008568347074740077
2018-08-05,gap_0,0.0008498393060910691
2018-08-06,gap_0,0.000847769695262776
2018-08-07,gap_0,0.0008444943467152659
2018-08-08,gap_0,0.0008548606241788935
2018-08-09,gap_0,0.0008366794994860565
2018-08-10,gap_0,0.0008438353623632454
2018-08-11,gap_0,0.0008493112578000447
2018-08-12,gap_0,0.0008509540576432845
2018-08-13,gap_0,0.0008719446958423411
2018-08-14,gap_0,0.0008759055347239231
2018-08-15,gap_0,0.0008714181007567149
2018-08-16,gap_0,0.0008682536395142079
2018-08-17,gap_0,0.0008403639956757899
2018-08-18,gap_0,0.0008466678567201322
2018-08-19,gap_0,0.0008427514409670378
2018-08-20,gap_0,0.0008550057487413801
2018-08-21,gap_0,0.0008525770991777302
2018-08-22,gap_0,0.0008573001041207666
2018-08-23,gap_0,0.000854169345185149
2018-08-24,gap_0,0.0008504174000823782
2018-08-25,gap_0,0.0008502319518760443
2018-08-26,gap_0,0.0008518535353113105
2018-08-27,gap_0,0.0008472007077663513
2018-08-28,gap_0,0.0008469046626067747
2018-08-29,gap_0,0.0008435970292120078
2018-08-30,gap_0,0.000844884830893865
2018-08-31,gap_0,0.0008543186351666721
2018-09-01,gap_0,0.0008506172714415263
2018-09-02,gap_0,0.0008528389861635149
2018-09-03,gap_0,0.0008636626730269079
2018-09-04,gap_0,0.0008649445239649636
2018-09-05,gap_0,0.0008587331366781703
2018-09-06,gap_0,0.0008525256594392942
2018-09-07,gap_0,0.0008562861524925929
2018-09-08,gap_0,0.0008624239694695359
2018-09-09,gap_0,0.0008674109169497135
2018-09-10,gap_0,0.0008709634012641924
2018-09-11,gap_0,0.0008778096691445342
2018-09-12,gap_0,0.0008814092288143716
2018-09-13,gap_0,0.0008669730303421955
2018-09-14,gap_0,0.0008749007322954274
2018-09-15,gap_0,0.0008714277311629493
2018-09-16,gap_0,0.0008692149752588966
2018-09-17,gap_0,0.0008751580094019378
2018-09-18,gap_0,0.000866052367988229
2018-09-19,gap_0,0.0008622234841245667
2018-09-20,gap_0,0.0008772272578232511
2018-09-21,gap_0,0.0008910321612299887
2018-09-22,gap_0,0.0008913197747398255
2018-09-23,gap_0,0.0008976555600206157
2018-09-24,gap_0,0.0008833123360885548
2018-09-25,gap_0,0.0008913652700277868
2018-09-26,gap_0,0.0008735109789984228
2018-09-27,gap_0,0.0008785805622667424
2018-09-28,gap_0,0.000876851004467549
2018-09-29,gap_0,0.0008796743329977312
2018-09-30,gap_0,0.0008796691120282829
2018-10-01,gap_0,0.0008801793412091397
2018-10-02,gap_0,0.0008663215691533169
2018-10-03,gap_0,0.0008662220834915444
2018-10-04,gap_0,0.0008648748829799744
2018-10-05,gap_0,0.0008640597523381717
2018-10-06,gap_0,0.0008599065150543953
2018-10-07,gap_0,0.0008625279710374709
2018-10-08,gap_0,0.0008620963828930395
2018-10-09,gap_0,0.0008599514870611882
2018-10-10,gap_0,0.0008572658342253756
2018-10-11,gap_0,0.0008430072716035247
2018-10-12,gap_0,0.0008454788865759933
2018-10-13,gap_0,0.00084673658573039
2018-10-14,gap_0,0.0008515956695608794
2018-10-15,gap_0,0.0008470419079202378
2018-10-16,gap_0,0.0008402313308875359
2018-10-17,gap_0,0.0008399247304108226
2018-10-18,gap_0,0.0008454140657923672
2018-10-19,gap_0,0.0008427589930082149
2018-10-20,gap_0,0.0008414437698510119
2018-10-21,gap_0,0.0008410529493317445
2018-10-22,gap_0,0.0008400926540246858
2018-10-23,gap_0,0.0008392650034294061
2018-10-24,gap_0,0.0008382154640328078
2018-10-25,gap_0,0.0008380021376610238
2018-10-26,gap_0,0.0008378811182761818
2018-10-27,gap_0,0.0008372145043517566
2018-10-28,gap_0,0.0008375548718328739
2018-10-29,gap_0,0.0008433880196314316
2018-10-30,gap_0,0.0008425503384918424
2018-10-31,gap_0,0.0008418186121437367
2018-11-01,gap_0,0.0008411559566669585
2018-11-02,gap_0,0.0008335297937456541
2018-11-03,gap_0,0.0008378574992835643
2018-11-04,gap_0,0.0008426368106297387
2018-11-05,gap_0,0.000838882161629483
2018-11-06,gap_0,0.0008565047828660278
2018-11-07,gap_0,0.0008517926790002138
2018-11-08,gap_0,0.0008434262347265763
2018-11-09,gap_0,0.0008405683994420602
2018-11-10,gap_0,0.0008436741042310601
2018-11-11,gap_0,0.0008453379857635887
2018-11-12,gap_0,0.0008454697040840467
2018-11-13,gap_0,0.0008426355709221939
2018-11-14,gap_0,0.0008410095980301379
2018-11-15,gap_0,0.000847357760339106
2018-11-16,gap_0,0.0008490205948366966
2018-11-17,gap_0,0.000854496782585624
2018-11-18,gap_0,0.0008647477017382656
2018-11-19,gap_0,0.0008905400913728331
